Category: All categories

Week,Magic: The Gathering: (United States),Yugioh: (United States),Pokémon: (United States),Disney Lorcana: (United States),Flesh & Blood: (United States)
2023-10-08,19,6,80,1,<1
2023-10-15,21,6,79,1,<1
2023-10-22,21,6,74,1,<1
2023-10-29,20,5,67,1,<1
2023-11-05,20,6,69,1,<1
2023-11-12,21,6,70,2,<1
2023-11-19,22,6,76,2,<1
2023-11-26,20,5,69,2,<1
2023-12-03,21,5,64,2,<1
2023-12-10,20,5,71,2,<1
2023-12-17,21,7,75,2,<1
2023-12-24,23,6,70,2,<1
2023-12-31,21,6,60,2,<1
2024-01-07,22,6,71,1,<1
2024-01-14,22,6,64,1,<1
2024-01-21,23,6,66,1,<1
2024-01-28,21,6,78,1,<1
2024-02-04,22,6,85,1,<1
2024-02-11,21,6,83,1,<1
2024-02-18,26,6,89,2,<1
2024-02-25,22,6,100,2,<1
2024-03-03,23,6,83,2,<1
2024-03-10,24,7,74,2,<1
2024-03-17,23,6,71,2,<1
2024-03-24,26,6,66,2,<1
2024-03-31,24,6,61,1,<1
2024-04-07,23,6,69,1,<1
2024-04-14,23,7,78,1,<1
2024-04-21,25,6,80,2,<1
2024-04-28,22,6,84,1,<1
2024-05-05,24,6,94,1,<1
2024-05-12,25,6,96,2,<1
2024-05-19,26,6,91,2,<1
2024-05-26,26,7,87,2,<1
2024-06-02,26,6,81,1,<1
2024-06-09,27,6,77,2,<1
2024-06-16,27,6,74,1,<1
2024-06-23,27,6,77,1,<1
2024-06-30,27,6,81,1,<1
2024-07-07,29,7,91,2,<1
2024-07-14,28,6,85,1,<1
2024-07-21,28,6,80,1,<1
2024-07-28,29,6,80,1,<1
2024-08-04,28,6,70,2,<1
2024-08-11,27,6,56,2,<1
2024-08-18,26,10,35,2,<1
2024-08-25,27,9,14,2,<1
2024-09-01,28,9,44,1,<1
2024-09-08,25,8,55,1,<1
2024-09-15,25,7,58,1,<1
2024-09-22,30,7,56,1,<1
2024-09-29,28,7,56,1,<1
2024-10-06,25,6,53,1,<1
